Post_oldid,Real_ID,date,COVID_Post,RiskFactor_2_CTA,SocialDisparities_3_CTA,Debunk_4_CTA,UncertaintyReduction_5_CTA,Testing_6_CTA,Vaccine_7_CTA,Mental_8_YesNo,Emotion_9_Number,Praise_10_Number,Pop_11_Number,Language_12_Number,Action_13_CTA,Positive_14a_Number,Negative_14b_Number,Individual_14c_Number,Collective_14d_Number,State_ recode,Gov_poli,Trifecta,White_percent,minority_percent,Poverty_percent,ProspertiyRanking,year,month,day,state,cases
7837,7837,9/8/20,1,88,88,88,88,88,88,0,0,1,0,0,0,0,0,0,0,31,2,2,36.8,63.2,17.5,45,2020,9,8,NM,37
7837,993,11/9/20,1,88,88,88,3,88,88,0,0,0,0,0,3,4,0,0,4,2,1,3,60.2,39.8,10.2,39,2020,11,9,AK,473
7838,7838,3/17/20,1,88,88,88,0,88,88,0,0,0,0,0,0,3,0,0,3,34,1,1,83.7,16.3,10.5,9,2020,3,17,ND,4
7838,3906,10/7/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,8,2,2,61.7,38.3,11.2,20,2020,10,7,DE,84
7839,7839,3/16/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,3,16,ND,0
7839,6222,11/27/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,11,27,TN,4135
7840,7840,3/15/20,1,88,88,88,1,88,88,0,0,0,0,0,1,3,0,0,3,34,1,1,83.7,16.3,10.5,9,2020,3,15,ND,0
7840,6223,11/28/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,11,28,TN,6379
7841,7841,3/14/20,1,88,88,88,2,88,88,0,0,0,0,0,2,1,0,0,1,34,1,1,83.7,16.3,10.5,9,2020,3,14,ND,0
7841,6224,11/29/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,11,29,TN,2924
7842,7842,3/14/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,3,14,ND,0
7842,6225,11/30/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,11,30,TN,7603
7843,7843,12/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,12,3,ND,970
7843,6226,12/1/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,1,TN,5568
7844,7844,12/3/20,1,88,88,88,3,88,88,0,0,0,0,0,3,1,0,0,1,34,1,1,83.7,16.3,10.5,9,2020,12,3,ND,970
7844,6227,12/2/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,2,TN,4015
7845,7845,12/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,12,3,ND,970
7845,6228,12/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,3,TN,3684
7846,7846,10/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,10,3,ND,440
7846,6229,12/4/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,4,TN,4316
7847,7847,10/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,10,3,ND,440
7847,6230,12/5/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,5,TN,4820
7848,7848,8/3/20,1,1,88,88,1,88,88,0,0,0,3,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,8,3,ND,125
7848,6231,12/6/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,6,TN,2578
7849,7849,7/3/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,7,3,ND,65
7849,6232,12/7/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,7,TN,7930
7850,7850,6/3/20,1,88,88,88,4,88,88,0,0,0,0,0,4,1,0,0,1,34,1,1,83.7,16.3,10.5,9,2020,6,3,ND,33
7850,6233,12/8/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,8,TN,5826
7851,7851,6/3/20,1,88,88,88,0,88,88,0,0,0,0,0,0,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,6,3,ND,33
7851,6234,12/9/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,9,TN,7894
7852,7852,5/3/20,1,2,88,88,2,88,88,0,0,0,0,0,2,1,0,1,0,34,1,1,83.7,16.3,10.5,9,2020,5,3,ND,38
7852,6235,12/10/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,10,TN,5859
7853,7853,4/3/20,1,88,88,88,2,88,88,0,0,0,0,0,2,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,4,3,ND,14
7853,6236,12/11/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,11,TN,7052
7854,7854,4/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,4,3,ND,14
7854,6237,12/12/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,12,TN,6292
7855,7855,4/3/20,1,88,88,88,1,88,88,0,0,0,0,0,1,0,0,0,0,34,1,1,83.7,16.3,10.5,9,2020,4,3,ND,14
7855,6238,12/13/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,13,TN,10461
7856,6239,12/14/20,1,88,88,88,1,88,88,0,0,0,0,0,1,1,0,1,0,42,1,1,73.5,26.5,13.8,41,2020,12,14,TN,9769
7856,7856,3/3/20,1,88,88,88,2,88,88,0,0,0,2,0,2,0,1,1,0,34,1,1,83.7,16.3,10.5,9,2020,3,3,ND,
